# ----------------------------------------
# PHCompany.com (Reporting)
# Demand Report
# 20161126-20161126
# ----------------------------------------

Hour of Day,Device Category,Event Label,Check In Date,Check Out Date,Number of Adults,Number of Children,Number of Rooms,Hits
2016112609,mobile,The Principal Manchester,26/11/2016,27/11/2016,8,0,4,4
2016112612,desktop,The Principal Edinburgh George...,22/12/2016,23/12/2016,8,0,4,4
2016112613,desktop,De Vere Orchard Hotel,27/12/2016,29/12/2016,8,0,3,2
2016112614,tablet,De Vere Devonport House,10/03/2017,12/03/2017,8,0,4,4
2016112616,mobile,De Vere Beaumont Estate,18/02/2017,19/02/2017,8,0,4,4
2016112616,tablet,De Vere Devonport House,19/12/2016,22/12/2016,8,0,4,4
2016112617,desktop,De Vere Oxford Thames,23/03/2017,25/03/2017,8,0,4,4
2016112617,mobile,Oxford Witney Hotel,16/12/2016,17/12/2016,8,0,4,4
2016112618,desktop,De Vere Tortworth Estate,29/11/2016,30/11/2016,8,0,6,4
2016112618,mobile,The St David's Hotel,21/01/2017,22/01/2017,8,0,4,2
2016112619,desktop,De Vere Orchard Hotel,17/12/2016,18/12/2016,8,0,4,3
2016112619,mobile,The Principal Edinburgh George...,02/12/2016,04/12/2016,8,0,4,2
2016112619,tablet,Grand Central Hotel,03/12/2016,04/12/2016,8,0,3,2
2016112621,mobile,Sunningdale Park,25/03/2017,26/03/2017,8,0,4,2
2016112621,tablet,De Vere Cotswold Water Park,14/04/2017,17/04/2017,8,2,3,2
2016112623,tablet,De Vere Orchard Hotel,31/12/2016,01/01/2017,8,0,5,3
2016112603,mobile,Wychwood Park,28/11/2016,29/11/2016,7,0,4,4
2016112608,mobile,De Vere Cotswold Water Park,27/12/2016,30/12/2016,7,1,3,2
2016112611,mobile,De Vere Cotswold Water Park,03/03/2017,05/03/2017,7,0,3,2
2016112612,desktop,De Vere Oxford Thames,26/11/2016,28/11/2016,7,6,5,4
2016112616,desktop,De Vere Latimer Estate,14/02/2017,16/02/2017,7,0,3,3
2016112617,desktop,De Vere Orchard Hotel,04/02/2017,05/02/2017,7,0,2,2
2016112617,mobile,De Vere Wokefield Estate,26/11/2016,27/11/2016,7,0,2,2
2016112618,mobile,De Vere Wokefield Estate,10/12/2016,11/12/2016,7,0,4,4
2016112619,desktop,Eastwood Hall,19/08/2017,20/08/2017,7,1,4,4
2016112620,mobile,De Vere Orchard Hotel,17/12/2016,18/12/2016,7,0,3,3
2016112621,tablet,Cheadle House,19/01/2017,21/01/2017,7,2,4,1
2016112621,tablet,De Vere Cranage Estate,19/01/2017,21/01/2017,7,2,4,1
2016112621,tablet,The Principal Manchester,19/01/2017,21/01/2017,7,2,4,1
2016112621,tablet,Wychwood Park,19/01/2017,21/01/2017,7,2,4,1
2016112623,desktop,De Vere Selsdon Estate,13/01/2017,15/01/2017,7,6,7,5
2016112600,desktop,The Principal Edinburgh George...,28/06/2017,30/06/2017,6,3,3,3
2016112603,mobile,De Vere Selsdon Estate,26/11/2016,27/11/2016,6,0,3,3
2016112606,mobile,De Vere Oxford Thames,10/12/2016,11/12/2016,6,0,4,2
2016112608,mobile,De Vere Oxford Thames,23/12/2016,24/12/2016,6,0,3,3
2016112609,mobile,The St David's Hotel,06/01/2017,07/01/2017,6,0,3,3
2016112609,tablet,Oxford Spires Hotel,27/01/2017,29/01/2017,6,0,3,1
2016112609,tablet,Oxford Spires Hotel,30/12/2016,01/01/2017,6,0,3,1
2016112609,tablet,Oxfordshire,29/12/2016,30/12/2016,6,6,3,3
2016112610,mobile,The St David's Hotel,02/12/2016,03/12/2016,6,0,3,3
2016112611,mobile,Grand Central Hotel,16/12/2016,17/12/2016,6,0,3,1
2016112612,desktop,De Vere Tortworth Estate,17/12/2016,18/12/2016,6,0,3,3
2016112612,desktop,The Principal Edinburgh George...,10/12/2016,11/12/2016,6,0,3,3
2016112612,mobile,De Vere Cotswold Water Park,13/01/2017,14/01/2017,6,0,3,3
2016112612,tablet,De Vere Cotswold Water Park,16/06/2017,18/06/2017,6,3,4,1
2016112613,mobile,De Vere Theobalds Estate,26/11/2016,27/11/2016,6,0,3,3
2016112613,mobile,De Vere Wotton House,28/07/2017,29/07/2017,6,0,3,3
2016112614,desktop,Wychwood Park,28/12/2016,29/12/2016,6,0,3,3
2016112615,desktop,Blythswood Square Hotel,01/01/2017,03/01/2017,6,0,3,2
2016112615,mobile,De Vere Cotswold Water Park,26/11/2016,27/11/2016,6,2,3,3
2016112615,tablet,De Vere Selsdon Estate,18/02/2017,19/02/2017,6,0,2,2
2016112615,tablet,De Vere Tortworth Estate,13/01/2017,15/01/2017,6,0,6,3
2016112615,tablet,The Principal Edinburgh George...,06/07/2017,09/07/2017,6,0,2,2
2016112615,tablet,The St David's Hotel,27/12/2016,28/12/2016,6,0,3,3
2016112616,desktop,De Vere Cotswold Water Park,31/12/2016,01/01/2017,6,0,2,1
2016112616,mobile,Blythswood Square Hotel,09/12/2016,10/12/2016,6,1,3,3
2016112616,mobile,De Vere Wotton House,30/11/2016,01/12/2016,6,0,3,3
2016112617,mobile,De Vere Cranage Estate,04/12/2016,06/12/2016,6,0,3,3
2016112617,mobile,De Vere Tortworth Estate,09/12/2016,10/12/2016,6,0,3,3
2016112617,mobile,Oxford Spires Hotel,28/12/2016,29/12/2016,6,0,3,1
2016112617,mobile,The St David's Hotel,26/11/2016,27/11/2016,6,1,3,3
2016112617,tablet,De Vere Staverton Estate,02/06/2017,04/06/2017,6,0,2,1
2016112617,tablet,De Vere Wokefield Estate,24/12/2016,27/12/2016,6,0,3,3
2016112618,desktop,De Vere Cotswold Water Park,03/02/2017,04/02/2017,6,0,3,3
2016112618,desktop,De Vere Cotswold Water Park,24/12/2016,26/12/2016,6,0,2,2
2016112618,desktop,De Vere Horwood Estate,17/02/2017,19/02/2017,6,0,3,1
2016112618,mobile,De Vere Devonport House,22/02/2017,23/02/2017,6,2,3,3
2016112618,mobile,Grand Central Hotel,26/11/2016,27/11/2016,6,0,3,3
2016112618,mobile,Oxfordshire,17/12/2016,19/12/2016,6,0,3,3
2016112618,mobile,The Principal York,03/12/2016,04/12/2016,6,1,3,3
2016112618,mobile,The St David's Hotel,17/02/2017,18/02/2017,6,0,3,1
2016112618,tablet,The Principal York,27/01/2017,29/01/2017,6,0,3,3
2016112619,mobile,De Vere Cranage Estate,04/01/2017,05/01/2017,6,3,4,4
2016112619,mobile,De Vere Tortworth Estate,10/12/2016,11/12/2016,6,1,3,3
2016112619,mobile,Denham Grove,26/11/2016,27/11/2016,6,0,3,3
2016112619,tablet,De Vere Tortworth Estate,21/01/2017,22/01/2017,6,0,3,2
2016112619,tablet,Oxford Witney Hotel,17/12/2016,18/12/2016,6,0,3,1
2016112619,tablet,The St David's Hotel,31/12/2016,02/01/2017,6,6,3,2
2016112620,desktop,De Vere Staverton Estate,03/03/2017,05/03/2017,6,0,3,2
2016112620,desktop,Hartsfield Manor,02/12/2016,05/12/2016,6,0,3,3
2016112620,mobile,Blythswood Square Hotel,02/12/2016,04/12/2016,6,0,3,3
2016112620,mobile,De Vere Wotton House,24/06/2017,25/06/2017,6,0,3,3
2016112620,mobile,The St David's Hotel,30/11/2016,01/12/2016,6,0,3,3
2016112620,tablet,De Vere Cotswold Water Park,04/02/2017,05/02/2017,6,0,3,1
2016112621,desktop,De Vere Cranage Estate,04/08/2017,06/08/2017,6,5,4,4
2016112621,desktop,Grand Central Hotel,12/05/2017,13/05/2017,6,0,3,1
2016112621,desktop,The St David's Hotel,21/12/2016,23/12/2016,6,0,3,3
2016112621,mobile,De Vere Tortworth Estate,27/01/2017,28/01/2017,6,0,3,3
2016112621,tablet,De Vere Theobalds Estate,04/12/2016,05/12/2016,6,0,3,3
2016112622,desktop,Hunton Park,06/07/2017,08/07/2017,6,0,2,2
2016112622,mobile,Denham Grove,26/11/2016,27/11/2016,6,0,3,3
2016112622,mobile,The St David's Hotel,03/12/2016,04/12/2016,6,0,3,3
2016112623,desktop,De Vere Oxford Thames,02/12/2016,04/12/2016,6,0,3,3
2016112623,mobile,De Vere Cotswold Water Park,27/07/2017,31/07/2017,6,2,3,1
2016112623,mobile,De Vere Tortworth Estate,03/02/2017,04/02/2017,6,0,3,3
2016112623,tablet,Hertfordshire,11/12/2016,12/12/2016,6,0,3,3
2016112600,mobile,Blythswood Square Hotel,02/01/2017,04/01/2017,5,0,2,2
2016112602,mobile,The Principal Manchester,26/11/2016,27/11/2016,5,0,3,3
2016112609,mobile,De Vere Wotton House,30/04/2017,01/05/2017,5,0,4,4
2016112609,mobile,The St David's Hotel,21/01/2017,22/01/2017,5,0,3,2
2016112609,tablet,The Principal York,03/12/2016,04/12/2016,5,1,3,1
2016112610,mobile,Hunton Park,12/12/2016,13/12/2016,5,2,2,2
2016112611,desktop,Sedgebrook Hall,07/01/2017,08/01/2017,5,4,3,1
2016112612,mobile,De Vere Selsdon Estate,26/11/2016,27/11/2016,5,0,3,3
2016112612,mobile,De Vere Theobalds Estate,03/12/2016,04/12/2016,5,0,3,3
2016112612,tablet,De Vere Latimer Estate,18/12/2016,20/12/2016,5,1,2,1
2016112613,mobile,Blythswood Square Hotel,25/02/2017,26/02/2017,5,0,2,1
2016112613,mobile,Hunton Park,10/08/2017,11/08/2017,5,0,2,2
2016112614,mobile,Gorse Hill,27/11/2016,28/11/2016,5,0,3,3
2016112615,desktop,Grand Central Hotel,23/12/2016,28/12/2016,5,0,2,2
2016112615,desktop,The Principal Manchester,10/12/2016,11/12/2016,5,0,2,2
2016112617,desktop,The Bonham Hotel,02/02/2017,05/02/2017,5,0,3,2
2016112617,desktop,The St David's Hotel,28/12/2016,30/12/2016,5,0,2,2
2016112617,mobile,The Principal York,03/12/2016,04/12/2016,5,0,3,3
2016112617,tablet,Oxford Spires Hotel,26/11/2016,27/11/2016,5,0,2,2
2016112618,mobile,Blythswood Square Hotel,27/01/2017,28/01/2017,5,0,2,2
2016112618,tablet,The Principal Manchester,02/12/2016,03/12/2016,5,0,3,3
2016112619,tablet,The Principal York,10/02/2017,12/02/2017,5,0,2,2
2016112620,mobile,Cheadle House,10/12/2016,12/12/2016,5,3,2,2
2016112620,mobile,The Principal York,03/12/2016,04/12/2016,5,0,3,3
2016112621,desktop,De Vere Beaumont Estate,10/12/2016,11/12/2016,5,0,3,3
2016112621,desktop,De Vere Beaumont Estate,11/12/2016,16/12/2016,5,0,3,3
2016112621,tablet,Grand Central Hotel,27/11/2016,28/11/2016,5,0,3,3
2016112621,tablet,The Principal Edinburgh George...,22/12/2016,24/12/2016,5,0,3,1
2016112623,desktop,The Bonham Hotel,12/08/2017,15/08/2017,5,1,3,1
2016112600,desktop,De Vere Devonport House,08/02/2017,10/02/2017,4,0,2,2
2016112600,desktop,De Vere Devonport House,18/01/2017,20/01/2017,4,0,2,2
2016112600,mobile,De Vere Orchard Hotel,14/04/2017,17/04/2017,4,2,2,2
2016112600,mobile,The Principal Edinburgh George...,31/12/2016,02/01/2017,4,0,2,1
2016112600,tablet,Hertfordshire,02/12/2016,03/12/2016,4,0,2,1
2016112601,desktop,De Vere Orchard Hotel,27/12/2016,28/12/2016,4,0,1,1
2016112601,desktop,De Vere Orchard Hotel,27/12/2016,29/12/2016,4,0,1,1
2016112601,desktop,Oxford Spires Hotel,24/12/2016,27/12/2016,4,2,2,1
2016112601,mobile,Blythswood Square Hotel,03/12/2016,04/12/2016,4,0,2,2
2016112601,mobile,De Vere Tortworth Estate,31/12/2016,01/01/2017,4,0,2,2
2016112601,mobile,Hartsfield Manor,21/01/2017,22/01/2017,4,0,2,2
2016112604,desktop,Grand Central Hotel,16/06/2017,18/06/2017,4,0,2,2
2016112604,desktop,London,16/01/2017,18/01/2017,4,0,2,2
2016112606,desktop,The Principal Edinburgh George...,28/06/2017,02/07/2017,4,2,2,2
2016112606,tablet,The Principal Edinburgh George...,16/06/2017,18/06/2017,4,0,2,1
2016112607,mobile,De Vere Cranage Estate,26/11/2016,27/11/2016,4,0,2,2
2016112607,mobile,De Vere Selsdon Estate,04/02/2017,05/02/2017,4,0,2,1
2016112607,mobile,The Principal Edinburgh George...,26/11/2016,27/11/2016,4,0,2,2
2016112607,mobile,The Roxburghe Hotel,26/11/2016,27/11/2016,4,1,2,2
2016112607,tablet,The Met Hotel,29/12/2016,30/12/2016,4,4,2,2
2016112608,mobile,De Vere Cotswold Water Park,28/12/2016,31/12/2016,4,0,1,1
2016112608,mobile,De Vere Devonport House,20/02/2017,22/02/2017,4,0,2,1
2016112608,mobile,The Derbyshire,26/11/2016,27/11/2016,4,4,2,2
2016112608,mobile,The Principal Edinburgh George...,26/11/2016,27/11/2016,4,0,2,2
2016112608,mobile,The Principal Manchester,02/12/2016,03/12/2016,4,0,2,2
2016112608,mobile,The Principal Manchester,10/12/2016,11/12/2016,4,0,2,2
2016112608,mobile,The Roxburghe Hotel,27/12/2016,29/12/2016,4,2,2,2
2016112608,mobile,Wychwood Park,26/11/2016,27/11/2016,4,0,2,1
2016112608,tablet,De Vere Beaumont Estate,02/12/2016,04/12/2016,4,0,2,2
2016112608,tablet,The St David's Hotel,22/12/2016,23/12/2016,4,0,2,2
2016112609,desktop,Cheshire,10/12/2016,11/12/2016,4,0,1,1
2016112609,desktop,De Vere Cotswold Water Park,27/12/2016,29/12/2016,4,0,1,1
2016112609,desktop,De Vere Cotswold Water Park,27/12/2016,30/12/2016,4,0,1,1
2016112609,desktop,De Vere Cotswold Water Park,28/12/2016,31/12/2016,4,0,1,1
2016112609,desktop,De Vere Devonport House,31/12/2016,01/01/2017,4,0,2,2
2016112609,desktop,Hartsfield Manor,21/01/2017,22/01/2017,4,0,2,2
2016112609,desktop,The Principal Manchester,23/12/2016,02/01/2017,4,0,2,2
2016112609,mobile,De Vere Beaumont Estate,03/12/2016,04/12/2016,4,0,2,2
2016112609,mobile,De Vere Cotswold Water Park,02/12/2016,03/12/2016,4,0,2,2
2016112609,mobile,De Vere Cotswold Water Park,10/12/2016,11/12/2016,4,0,2,2
2016112609,mobile,Oxford Spires Hotel,28/01/2017,29/01/2017,4,0,2,2
2016112609,mobile,The Principal Edinburgh George...,14/04/2017,15/04/2017,4,0,2,2
2016112609,mobile,The St David's Hotel,30/11/2016,01/12/2016,4,0,2,2
2016112609,tablet,De Vere Theobalds Estate,18/02/2017,20/02/2017,4,0,2,2
2016112610,desktop,De Vere Beaumont Estate,07/01/2017,09/01/2017,4,0,2,1
2016112610,desktop,De Vere Cotswold Water Park,26/11/2016,27/11/2016,4,3,2,2
2016112610,desktop,De Vere Cranage Estate,11/02/2017,13/02/2017,4,0,2,2
2016112610,desktop,De Vere Devonport House,14/12/2016,15/12/2016,4,0,2,2
2016112610,desktop,De Vere Horsley Estate,07/01/2017,09/01/2017,4,0,2,1
2016112610,desktop,De Vere Horwood Estate,07/01/2017,09/01/2017,4,0,2,1
2016112610,desktop,De Vere Wokefield Estate,11/04/2017,13/04/2017,4,0,2,1
2016112610,desktop,The Derbyshire,17/03/2017,19/03/2017,4,0,2,1
2016112610,desktop,The Roxburghe Hotel,30/12/2016,01/01/2017,4,0,2,1
2016112610,mobile,De Vere Beaumont Estate,09/12/2016,10/12/2016,4,2,2,2
2016112610,mobile,De Vere Beaumont Estate,10/12/2016,11/12/2016,4,0,2,2
2016112610,mobile,De Vere Beaumont Estate,26/11/2016,27/11/2016,4,2,2,2
2016112610,mobile,De Vere Staverton Estate,26/03/2017,27/03/2017,4,0,2,2
2016112610,mobile,De Vere Tortworth Estate,28/12/2016,29/12/2016,4,0,2,2
2016112610,mobile,Sunningdale Park,16/12/2016,18/12/2016,4,0,2,2
2016112610,mobile,The St David's Hotel,03/12/2016,04/12/2016,4,0,2,2
2016112610,mobile,The St David's Hotel,26/11/2016,27/11/2016,4,0,2,2
2016112610,tablet,De Vere Cotswold Water Park,20/01/2017,22/01/2017,4,0,1,1
2016112610,tablet,De Vere Cotswold Water Park,27/01/2017,29/01/2017,4,0,1,1
2016112610,tablet,De Vere Cranage Estate,10/12/2016,11/12/2016,4,0,2,2
2016112610,tablet,De Vere Devonport House,10/03/2017,11/03/2017,4,0,2,2
2016112610,tablet,De Vere Theobalds Estate,02/12/2016,03/12/2016,4,0,2,1
2016112610,tablet,Grand Central Hotel,04/12/2016,05/12/2016,4,0,2,2
2016112610,tablet,The Principal Edinburgh George...,04/03/2017,05/03/2017,4,0,2,2
2016112611,desktop,Blythswood Square Hotel,06/01/2017,07/01/2017,4,0,2,2
2016112611,desktop,De Vere Cotswold Water Park,28/12/2016,31/12/2016,4,4,2,2
2016112611,desktop,De Vere Orchard Hotel,03/12/2016,04/12/2016,4,0,4,2
2016112611,desktop,De Vere Orchard Hotel,12/12/2016,15/12/2016,4,0,1,1
2016112611,desktop,De Vere Theobalds Estate,07/01/2017,09/01/2017,4,0,2,1
2016112611,desktop,Ettington Chase,11/12/2016,12/12/2016,4,0,2,2
2016112611,desktop,The St David's Hotel,05/01/2017,06/01/2017,4,0,2,2
2016112611,mobile,De Vere Cotswold Water Park,01/12/2016,03/12/2016,4,0,2,2
2016112611,mobile,De Vere Cotswold Water Park,04/12/2016,05/12/2016,4,0,2,2
2016112611,mobile,De Vere Selsdon Estate,09/12/2016,11/12/2016,4,0,2,2
2016112611,mobile,The Bonham Hotel,30/12/2016,01/01/2017,4,0,2,1
2016112611,mobile,The St David's Hotel,03/12/2016,04/12/2016,4,0,2,2
2016112611,mobile,The St Johns Hotel,26/11/2016,27/11/2016,4,0,2,2
2016112611,tablet,De Vere Cotswold Water Park,24/03/2017,25/03/2017,4,2,2,2
2016112611,tablet,De Vere Oxford Thames,30/12/2016,31/12/2016,4,0,1,1
2016112611,tablet,Gloucestershire,28/12/2016,30/12/2016,4,3,2,2
2016112611,tablet,Grand Central Hotel,19/01/2017,22/01/2017,4,0,2,2
2016112611,tablet,New Place,27/12/2016,30/12/2016,4,3,2,2
2016112611,tablet,New Place,28/12/2016,30/12/2016,4,3,2,2
2016112611,tablet,The Roxburghe Hotel,13/01/2017,14/01/2017,4,0,2,2
2016112612,desktop,De Vere Cotswold Water Park,20/01/2017,22/01/2017,4,0,2,2
2016112612,desktop,De Vere Cotswold Water Park,26/11/2016,28/11/2016,4,0,1,1
2016112612,desktop,De Vere Cranage Estate,13/01/2017,14/01/2017,4,0,2,2
2016112612,desktop,De Vere Devonport House,08/01/2017,09/01/2017,4,0,3,1
2016112612,desktop,De Vere Selsdon Estate,26/11/2016,27/11/2016,4,4,2,2
2016112612,desktop,De Vere Staverton Estate,04/02/2017,05/02/2017,4,0,2,2
2016112612,desktop,Grand Central Hotel,17/02/2017,18/02/2017,4,0,2,2
2016112612,desktop,The Principal Edinburgh George...,06/02/2017,09/02/2017,4,0,2,2
2016112612,desktop,The Roxburghe Hotel,01/12/2016,03/12/2016,4,0,2,2
2016112612,desktop,The St David's Hotel,01/09/2017,03/09/2017,4,0,2,2
2016112612,desktop,The St David's Hotel,28/11/2016,29/11/2016,4,0,2,1
2016112612,mobile,Blythswood Square Hotel,10/12/2016,11/12/2016,4,0,2,2
2016112612,mobile,De Vere Devonport House,26/11/2016,27/11/2016,4,0,2,2
2016112612,mobile,De Vere Selsdon Estate,07/01/2017,08/01/2017,4,0,2,2
2016112612,mobile,The Roxburghe Hotel,08/02/2017,10/02/2017,4,0,2,2
2016112612,mobile,The St David's Hotel,22/12/2016,26/12/2016,4,2,1,1
2016112612,mobile,The St Johns Hotel,26/11/2016,27/11/2016,4,1,2,2
2016112612,tablet,Gloucestershire,28/12/2016,29/12/2016,4,4,2,2
2016112612,tablet,Oxford Witney Hotel,25/02/2017,26/02/2017,4,0,2,2
2016112613,desktop,De Vere Selsdon Estate,03/12/2016,04/12/2016,4,0,2,2
2016112613,desktop,De Vere Tortworth Estate,13/01/2017,16/01/2017,4,0,2,1
2016112613,desktop,Grand Central Hotel,26/11/2016,27/11/2016,4,0,2,2
2016112613,desktop,Oxford Witney Hotel,26/03/2017,27/03/2017,4,0,2,1
2016112613,desktop,The St David's Hotel,03/12/2016,04/12/2016,4,0,2,2
2016112613,desktop,The St David's Hotel,30/12/2016,01/01/2017,4,0,2,1
2016112613,desktop,Warbrook House,14/02/2017,15/02/2017,4,0,2,2
2016112613,desktop,Warbrook House,27/11/2016,28/11/2016,4,0,2,2
2016112613,mobile,Grand Central Hotel,14/01/2017,15/01/2017,4,0,2,2
2016112613,mobile,Grand Central Hotel,29/11/2016,30/11/2016,4,0,2,2
2016112613,mobile,Oxford Spires Hotel,26/11/2016,27/11/2016,4,0,2,2
2016112613,mobile,Ponsbourne Park,26/11/2016,27/11/2016,4,0,2,2
2016112613,mobile,The Principal York,15/12/2016,16/12/2016,4,0,2,2
2016112613,mobile,The Principal York,24/11/2017,26/11/2017,4,0,2,2
2016112613,tablet,De Vere Cotswold Water Park,23/12/2016,30/12/2016,4,6,2,2
2016112613,tablet,Oxford Witney Hotel,18/02/2017,19/02/2017,4,2,2,1
2016112613,tablet,The Principal Edinburgh George...,28/12/2016,29/12/2016,4,0,2,2
2016112614,desktop,De Vere Cotswold Water Park,22/12/2016,23/12/2016,4,2,2,2
2016112614,desktop,De Vere Cranage Estate,05/08/2017,06/08/2017,4,0,2,2
2016112614,desktop,De Vere Tortworth Estate,13/01/2017,16/01/2017,4,0,2,1
2016112614,desktop,De Vere Tortworth Estate,28/12/2016,29/12/2016,4,4,2,2
2016112614,desktop,Grand Central Hotel,27/12/2016,29/12/2016,4,0,2,1
2016112614,desktop,Grand Central Hotel,28/12/2016,30/12/2016,4,0,2,1
2016112614,desktop,Sunningdale Park,26/11/2016,27/11/2016,4,0,2,2
2016112614,mobile,De Vere Cotswold Water Park,03/12/2016,04/12/2016,4,0,2,2
2016112614,mobile,De Vere Devonport House,04/03/2017,05/03/2017,4,0,2,2
2016112614,mobile,De Vere Latimer Estate,16/12/2016,18/12/2016,4,0,2,2
2016112614,mobile,De Vere Orchard Hotel,12/12/2016,15/12/2016,4,0,2,2
2016112614,mobile,De Vere Tortworth Estate,27/11/2016,28/11/2016,4,0,2,2
2016112614,mobile,De Vere Tortworth Estate,30/01/2017,31/01/2017,4,1,2,2
2016112614,mobile,De Vere Tortworth Estate,31/01/2017,01/02/2017,4,1,2,2
2016112614,mobile,Nottinghamshire,12/12/2016,15/12/2016,4,0,2,2
2016112614,mobile,The Principal York,05/12/2016,09/12/2016,4,0,2,2
2016112614,mobile,The St David's Hotel,18/01/2017,19/01/2017,4,0,2,2
2016112614,tablet,Blythswood Square Hotel,09/12/2016,10/12/2016,4,0,2,2
2016112614,tablet,De Vere Tortworth Estate,13/01/2017,15/01/2017,4,0,4,2
2016112614,tablet,Eastwood Hall,29/04/2017,30/04/2017,4,2,2,2
2016112614,tablet,Grand Central Hotel,08/02/2017,09/02/2017,4,0,2,1
2016112614,tablet,The St David's Hotel,28/01/2017,29/01/2017,4,0,2,2
2016112615,desktop,Blythswood Square Hotel,24/12/2016,25/12/2016,4,0,2,1
2016112615,desktop,Blythswood Square Hotel,30/11/2016,01/12/2016,4,0,4,3
2016112615,desktop,De Vere Cranage Estate,21/04/2017,22/04/2017,4,0,2,2
2016112615,desktop,De Vere Devonport House,04/01/2017,08/01/2017,4,0,2,2
2016112615,desktop,De Vere Horwood Estate,30/12/2016,01/01/2017,4,0,2,2
2016112615,desktop,The Principal York,14/01/2017,15/01/2017,4,2,2,2
2016112615,desktop,The St David's Hotel,14/01/2017,17/01/2017,4,0,2,1
2016112615,mobile,Blythswood Square Hotel,26/11/2016,27/11/2016,4,0,2,2
2016112615,mobile,De Vere Horwood Estate,12/02/2017,17/02/2017,4,0,1,1
2016112615,mobile,De Vere Staverton Estate,12/02/2017,17/02/2017,4,0,1,1
2016112615,mobile,Ettington Chase,26/11/2016,27/11/2016,4,0,2,2
2016112615,mobile,Oxford Witney Hotel,28/12/2016,29/12/2016,4,0,2,2
2016112615,mobile,The Principal Edinburgh George...,26/11/2016,27/11/2016,4,0,2,2
2016112615,mobile,The Principal York,10/12/2016,12/12/2016,4,0,2,2
2016112615,mobile,The Roxburghe Hotel,27/12/2016,29/12/2016,4,0,2,1
2016112615,tablet,Buckinghamshire,30/11/2016,01/12/2016,4,0,4,2
2016112616,desktop,De Vere Oxford Thames,16/12/2016,17/12/2016,4,0,2,2
2016112616,desktop,De Vere Tortworth Estate,03/12/2016,04/12/2016,4,0,2,2
2016112616,desktop,The Principal York,28/11/2016,30/11/2016,4,0,2,2
2016112616,mobile,Blythswood Square Hotel,24/02/2017,27/02/2017,4,0,1,1
2016112616,mobile,De Vere Tortworth Estate,09/12/2016,10/12/2016,4,0,2,2
2016112616,mobile,De Vere Tortworth Estate,30/01/2017,31/01/2017,4,0,2,2
2016112616,mobile,Oxford Spires Hotel,26/11/2016,27/11/2016,4,0,2,2
2016112616,mobile,The St David's Hotel,26/11/2016,27/11/2016,4,0,2,2
2016112616,tablet,De Vere Tortworth Estate,27/01/2017,29/01/2017,4,0,2,2
2016112616,tablet,The St David's Hotel,04/12/2016,05/12/2016,4,0,2,2
